veh_value,exposure,claimcst0,veh_body,veh_age,area,agecat,gender
1.43,0.0684462697,0.0,3,2,1,1,0
1.04,0.257357974,0.0,9,4,2,4,0
1.99,0.257357974,0.0,10,4,5,4,1
1.76,0.5284052019,0.0,3,2,2,2,1
1.01,0.5174537988,0.0,10,3,1,5,0
1.76,0.8021902806,0.0,9,2,2,4,0
1.08,0.0027378508,0.0,9,3,0,4,1
2.05,0.8651608487,0.0,9,1,4,2,1
0.79,0.3641341547,0.0,9,4,3,5,0
0.46,0.3312799452,0.0,10,4,0,1,1
1.2,0.4982888433,0.0,9,4,2,4,0
0.81,0.6488706365,0.0,3,3,3,4,0
1.14,0.1779603012,0.0,3,2,2,6,0
1.61,0.3504449008,0.0,9,2,3,2,0
0.53,0.0602327173,0.0,3,4,1,3,0
1.47,0.7748117728,0.0,3,1,2,4,1
1.47,0.6406570842,0.0,9,2,4,5,0
1.7,0.0547570157,0.0,9,2,1,4,1
1.47,0.5694729637,0.0,3,2,4,4,0
1.6,0.9828884326,0.0,3,2,1,4,0
1.06,0.7967145791,0.0,9,3,2,1,0
2.83,0.9089664613,1173.2699995,7,2,1,2,1
0.72,0.4161533196,0.0,9,4,1,3,1
1.77,0.3312799452,0.0,10,4,1,1,1
1.09,0.9828884326,0.0,9,3,2,4,1
1.62,0.1861738535,0.0,9,2,1,2,1
0.9,0.4407939767,0.0,9,3,2,3,0
1.35,0.7885010267,2064.5199966,10,4,2,1,0
1.85,0.2847364819,0.0,3,1,5,1,1
0.86,0.295687885,0.0,9,4,2,3,1
1.57,0.8432580424,0.0,3,2,1,2,0
0.66,0.3312799452,0.0,9,4,3,2,1
0.99,0.7091033539,200.0,11,3,4,5,1
1.71,0.2491444216,0.0,9,2,1,4,0
2.11,0.3449691992,0.0,10,3,3,4,1
3.73,0.8076659822,2460.0899963,10,2,0,2,1
2.72,0.1889117043,0.0,10,1,1,4,0
0.71,0.076659822,0.0,9,4,0,3,0
1.45,0.2902121834,0.0,9,3,1,5,1
0.44,0.5338809035,0.0,9,4,1,4,0
5.19,0.2546201232,0.0,10,1,2,5,0
0.31,0.3586584531,0.0,3,4,4,5,0
1.15,0.2381930185,0.0,10,4,3,1,0
0.9,0.3394934976,0.0,9,3,0,5,0
1.27,0.7118412046,0.0,10,4,2,4,1
1.23,0.7118412046,0.0,9,3,3,3,1
1.52,0.7775496235,1354.7999992,9,2,2,4,0
2.11,0.8678986995,0.0,9,2,3,6,0
1.08,0.2874743326,0.0,9,3,3,5,0
1.27,0.2409308693,0.0,3,3,1,4,0
0.95,0.2710472279,0.0,10,4,1,3,1
0.84,0.8815879535,0.0,3,4,2,3,0
2.62,0.4216290212,0.0,10,2,2,4,0
1.45,0.5612594114,0.0,9,3,1,6,0
0.74,0.4325804244,0.0,3,4,2,6,0
1.67,0.3312799452,0.0,3,2,2,1,0
3.37,0.4873374401,0.0,12,1,0,4,1
2.02,0.2628336756,0.0,9,2,4,4,1
0.5,0.8651608487,0.0,3,4,0,3,1
