[2024-09-08 20:08:18,510: INFO: main: welcome to my 1st log]
[2024-09-08 20:26:57,485: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 20:26:57,496: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 20:26:57,497: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 20:28:30,671: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 20:28:30,674: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 20:28:30,675: INFO: common: created directory at: artifacts]
[2024-09-08 20:28:30,677: INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-08 20:28:31,033: INFO: 2461142721: veh_value    float64
exposure     float64
clm            int64
numclaims      int64
claimcst0    float64
veh_body      object
veh_age        int64
gender        object
area          object
agecat         int64
X_OBSTAT_     object
dtype: object]
[2024-09-08 20:28:31,035: INFO: 2461142721: Ingestion of the data is completed]
[2024-09-08 20:42:26,262: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 20:42:26,264: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 20:42:26,271: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 20:42:26,274: INFO: common: created directory at: artifacts]
[2024-09-08 20:42:26,276: INFO: common: created directory at: artifacts/data_validation]
[2024-09-08 21:02:48,213: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:02:48,216: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:02:48,224: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:02:48,226: INFO: common: created directory at: artifacts]
[2024-09-08 21:03:07,862: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:03:07,865: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:03:07,869: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:03:07,871: INFO: common: created directory at: artifacts]
[2024-09-08 21:09:51,784: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:09:51,789: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:09:51,798: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:09:51,801: INFO: common: created directory at: artifacts]
[2024-09-08 21:09:51,804: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:09:51,964: INFO: 209880282: (67856, 8)]
[2024-09-08 21:10:54,630: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:10:54,633: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:10:54,639: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:10:54,642: INFO: common: created directory at: artifacts]
[2024-09-08 21:10:54,643: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:11:22,658: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:11:22,660: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:11:22,665: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:11:22,666: INFO: common: created directory at: artifacts]
[2024-09-08 21:11:22,667: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:11:51,099: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:11:51,103: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:11:51,109: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:11:51,111: INFO: common: created directory at: artifacts]
[2024-09-08 21:11:51,113: INFO: common: created directory at: artifacts/data_transformation]
[2024-09-08 21:12:05,194: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-08 21:12:05,197: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-08 21:12:05,201: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-09-08 21:12:05,202: INFO: common: created directory at: artifacts]
[2024-09-08 21:12:05,204: INFO: common: created directory at: artifacts/data_transformation]
